,ppid,trialn,timestamp_exp,timestamp_trial,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,WheelCorrection,AutoFlag
352,P01,3,172.756455221031,10.199605416587046,-112.0331039428711,46.0154914855957,30.95108795166016,0.2419999986886978,7.9099998623132715,0.13212617806193966,0.13362951237604648,0.01670368904700581,-0.560000091791153,False
353,P01,3,172.77308797441242,10.216238169968506,-111.96466827392578,46.129600524902344,31.0826473236084,0.2419999986886978,7.9099998623132715,0.13156030162857954,0.13305719738923472,0.01663214967365434,-0.560000091791153,False
354,P01,3,172.78974759279063,10.23289778834669,-111.89585876464844,46.24374389648438,31.21442794799805,0.2419999986886978,7.9099998623132715,0.13177996674195613,0.13327936185669387,0.01665992023208673,-0.560000091791153,False
355,P01,3,172.80646878936363,10.249615664526829,-111.82656860351562,46.35809707641602,31.34663391113281,0.2419999986886978,7.9099998623132715,0.1322049709832254,0.13370920180477694,0.016713650225597117,-0.560000091791153,False
356,P01,3,172.82313233184246,10.266281319982935,-111.75719451904295,46.47198486328125,31.47848701477051,0.2419999986886978,7.9099998623132715,0.1318515966702751,0.13335180679177938,0.016668975848972426,-0.560000091791153,False
357,P01,3,172.83981157072392,10.282960257010473,-111.68751525878906,46.58578109741211,31.61042022705078,0.2419999986886978,7.9099998623132715,0.1319327772556583,0.1334339110514975,0.016679238881437186,-0.560000091791153,False
358,P01,3,172.85639482006638,10.299544110060763,-111.61797332763672,46.698768615722656,31.74159812927246,0.2419999986886978,7.9099998623132715,0.1311806630087588,0.13267323923355434,0.01658415490419429,-0.560000091791153,False
359,P01,3,172.8731314111881,10.316281606744155,-111.54756927490234,46.81258010864258,31.8745059967041,0.2430000007152557,7.944999933242798,0.13290746315641033,0.13382752853181046,0.01672844106647631,-0.560000091791153,False
360,P01,3,172.8897828795111,10.332932773213258,-111.47718811035156,46.9257698059082,32.00687789916992,0.2430000007152557,7.944999933242798,0.13237025981945014,0.13328660635033884,0.016660825793792355,-0.560000091791153,False
361,P01,3,172.9064421960354,10.349592995299222,-111.40657806396484,47.038734436035156,32.13976287841797,0.2440000027418137,7.980000004172325,0.1328835348751032,0.13321657624624095,0.01665207203078012,-0.560000091791153,False
362,P01,3,172.92306951604667,10.366219711602753,-111.33578491210938,47.15142059326172,32.272510528564446,0.2440000027418137,7.980000004172325,0.13274623361194668,0.1330789308697149,0.016634866358714362,-0.560000091791153,False
363,P01,3,172.9397448308275,10.382895931945226,-111.26458740234376,47.26416397094727,32.40610122680664,0.2450000047683716,8.015000075101852,0.13359216524542794,0.1333421474671468,0.01666776843339335,-0.560000091791153,False
364,P01,3,172.9563962991505,10.399547400268233,-111.1931610107422,47.376686096191406,32.539634704589844,0.2450000047683716,8.015000075101852,0.13352926191136605,0.13327936185669387,0.01665992023208673,-0.560000091791153,False
365,P01,3,172.97307614173968,10.41622663914967,-111.1213836669922,47.48917770385742,32.673324584960945,0.2450000047683716,8.015000075101852,0.13368893960545314,0.13343874071392747,0.016679842589240934,-0.560000091791153,False
366,P01,3,172.98970014135818,10.432850336914212,-111.04959106445312,47.60111999511719,32.806564331054695,0.2450000047683716,8.015000075101852,0.1332365194724721,0.1329871672853642,0.016623395910670524,-0.560000091791153,False
367,P01,3,173.00645303259026,10.449603530000218,-110.97697448730469,47.713768005371094,32.940841674804695,0.2450000047683716,8.015000075101852,0.13427684384228727,0.1340255446878018,0.016753193085975226,-0.560000091791153,False
368,P01,3,173.0231319696178,10.466282467027753,-110.9044189453125,47.82574462890625,33.074520111083984,0.2450000047683716,8.015000075101852,0.1336792621692684,0.1334290813890675,0.016678635173633438,-0.560000091791153,False
369,P01,3,173.0396820150317,10.482832814295564,-110.83216094970705,47.93669891357422,33.20717620849609,0.2450000047683716,8.015000075101852,0.13265587331254874,0.13240760780490746,0.016550950975613432,-0.560000091791153,False
370,P01,3,173.05640290975083,10.499554010868565,-110.75889587402344,48.048622131347656,33.341197967529304,0.2450000047683716,8.015000075101852,0.13402039178817496,0.13376957258378752,0.01672119657297344,-0.560000091791153,False
