"","ppid","cogload","trialn","RT","disengaged","premature","sab","onsettime","design","simTTLC"
"66",2,"noload",29,6.2668316997553,1,0,-0.3039716,6,"balanced",9.5
"67",2,"noload",30,2.81635113471066,1,0,-1.19868047,6,"balanced",4.68333333
"68",2,"noload",32,5.84942697738609,1,0,-0.3039716,6,"balanced",9.5
"69",2,"noload",35,1.35039849121802,1,0,-5.72957795,6,"balanced",2.23333333
"70",2,"noload",36,1.20033137420694,1,0,-5.72957795,6,"balanced",2.23333333
"71",2,"noload",37,5.83349638425409,1,0,-0.3039716,6,"balanced",9.5
"72",2,"noload",38,3.00031754934014,1,0,-1.19868047,6,"balanced",4.68333333
"73",2,"noload",43,4.46682982826678,1,0,-0.52191351,6,"balanced",7.1
"74",2,"noload",45,2.90028105531428,1,0,-1.19868047,6,"balanced",4.68333333
"75",3,"load",10,5.33484471579101,1,0,-0.3039716,6,"balanced",9.5
"76",3,"load",15,3.0014630858343,1,0,-1.19868047,6,"balanced",4.68333333
"77",3,"load",16,4.21643075275415,1,0,-0.52191351,6,"balanced",7.1
"78",3,"load",17,6.03465644951597,1,0,-0.3039716,6,"balanced",9.5
"79",3,"load",18,2.39960263953117,1,0,-1.19868047,6,"balanced",4.68333333
"80",3,"load",19,1.18489849106254,1,0,-5.72957795,6,"balanced",2.23333333
"81",3,"load",21,4.30151853639495,1,0,-0.52191351,6,"balanced",7.1
"82",3,"load",22,1.08309373680333,1,0,-5.72957795,6,"balanced",2.23333333
"83",3,"load",23,5.95123308825816,1,0,-0.3039716,6,"balanced",9.5
"84",3,"load",24,1.18311272341339,1,0,-5.72957795,6,"balanced",2.23333333
"85",3,"load",25,4.45160542503902,1,0,-0.52191351,6,"balanced",7.1
"86",3,"load",31,4.08301012327411,1,0,-0.52191351,6,"balanced",7.1
"87",3,"load",33,2.69968525694264,1,0,-1.19868047,6,"balanced",4.68333333
"88",3,"load",37,5.96699952095787,1,0,-0.3039716,6,"balanced",9.5
"89",3,"load",38,4.08475182025427,1,0,-0.52191351,6,"balanced",7.1
"90",3,"load",39,2.68335918711955,1,0,-1.19868047,6,"balanced",4.68333333
"91",3,"load",43,1.15046631899122,1,0,-5.72957795,6,"balanced",2.23333333
"92",3,"load",46,4.20153607410634,1,0,-0.52191351,6,"balanced",7.1
"93",3,"load",47,1.21626563867289,1,0,-5.72957795,6,"balanced",2.23333333
"94",3,"noload",10,4.33388240557031,1,0,-0.52191351,6,"balanced",7.1
"95",3,"noload",15,1.00061668750971,1,0,-5.72957795,6,"balanced",2.23333333
"96",3,"noload",16,2.18416136384838,1,0,-1.19868047,6,"balanced",4.68333333
"97",3,"noload",17,2.40081639404735,1,0,-1.19868047,6,"balanced",4.68333333
"98",3,"noload",20,4.48380568940263,1,0,-0.52191351,6,"balanced",7.1
"99",3,"noload",22,4.31741748295508,1,0,-0.52191351,6,"balanced",7.1
"100",3,"noload",23,6.00049685151293,1,0,-0.3039716,6,"balanced",9.5
"101",3,"noload",24,5.70051837369579,1,0,-0.3039716,6,"balanced",9.5
"102",3,"noload",25,5.71725587037918,1,0,-0.3039716,6,"balanced",9.5
"103",3,"noload",26,1.1340496929995,1,0,-5.72957795,6,"balanced",2.23333333
"104",3,"noload",27,5.71717678465837,1,0,-0.3039716,6,"balanced",9.5
"105",3,"noload",30,3.93392206917224,1,0,-0.52191351,6,"balanced",7.1
"106",3,"noload",32,4.06630764164265,1,0,-0.52191351,6,"balanced",7.1
"107",3,"noload",33,5.28389449481881,1,0,-0.3039716,6,"balanced",9.5
"108",3,"noload",36,1.06676374287963,1,0,-5.72957795,6,"balanced",2.23333333
"109",3,"noload",37,1.0341758981134,1,0,-5.72957795,6,"balanced",2.23333333
"110",3,"noload",39,2.3673097060215,1,0,-1.19868047,6,"balanced",4.68333333
"111",3,"noload",41,2.33397145246954,1,0,-1.19868047,6,"balanced",4.68333333
"112",3,"noload",46,4.21731005315337,1,0,-0.52191351,6,"balanced",7.1
"113",3,"noload",47,2.36731876163833,1,0,-1.19868047,6,"balanced",4.68333333
"114",4,"load",10,2.93490762214293,1,0,-1.19868047,6,"balanced",4.68333333
"115",4,"load",11,3.432946930161,1,0,-1.19868047,6,"balanced",4.68333333
"116",4,"load",17,1.23495431894071,1,0,-5.72957795,6,"balanced",2.23333333
"117",4,"load",20,4.61625042523667,1,0,-0.52191351,6,"balanced",7.1
"118",4,"load",22,7.34976927797459,1,0,-0.3039716,6,"balanced",9.5
"119",4,"load",23,1.18595316857545,1,0,-5.72957795,6,"balanced",2.23333333
"120",4,"load",24,4.14969236560182,1,0,-0.52191351,6,"balanced",7.1
"121",4,"load",26,3.26665924106078,1,0,-1.19868047,6,"balanced",4.68333333
"122",4,"load",28,6.64938100330801,1,0,-0.3039716,6,"balanced",9.5
"123",4,"load",29,1.23439498367122,1,0,-5.72957795,6,"balanced",2.23333333
"124",4,"load",31,3.38487820648072,1,0,-1.19868047,6,"balanced",4.68333333
"125",4,"load",32,7.14932983907272,1,0,-0.3039716,6,"balanced",9.5
"126",4,"load",33,1.73563122630253,1,0,-5.72957795,6,"balanced",2.23333333
"127",4,"load",35,1.20165530639542,1,0,-5.72957795,6,"balanced",2.23333333
"128",4,"load",36,4.76629022467296,1,0,-0.52191351,6,"balanced",7.1
"129",4,"load",37,4.2181691293415,1,0,-0.52191351,6,"balanced",7.1
"130",4,"load",38,6.43292338555716,1,0,-0.3039716,6,"balanced",9.5
"131",4,"load",43,3.43493946772901,1,0,-1.19868047,6,"balanced",4.68333333
"132",4,"load",44,1.14985325372845,1,0,-5.72957795,6,"balanced",2.23333333
"133",4,"load",46,2.69997473482886,1,0,-1.19868047,6,"balanced",4.68333333
"134",4,"load",47,6.08336268862467,1,0,-0.3039716,6,"balanced",9.5
"135",4,"noload",0,4.10022575652886,1,0,-0.52191351,6,"balanced",7.1
"136",4,"noload",2,2.51692962668824,1,0,-1.19868047,6,"balanced",4.68333333
"137",4,"noload",3,1.08373276150133,1,0,-5.72957795,6,"balanced",2.23333333
"138",4,"noload",5,1.18367145497498,1,0,-5.72957795,6,"balanced",2.23333333
"139",4,"noload",7,5.83339083650048,1,0,-0.3039716,6,"balanced",9.5
"140",4,"noload",8,6.31698039851353,1,0,-0.3039716,6,"balanced",9.5
"141",4,"noload",11,1.33370189694045,1,0,-5.72957795,6,"balanced",2.23333333
"142",4,"noload",16,1.30041918450547,1,0,-5.72957795,6,"balanced",2.23333333
"143",4,"noload",17,4.38356876427957,1,0,-0.52191351,6,"balanced",7.1
"144",4,"noload",18,2.75038252434979,1,0,-1.19868047,6,"balanced",4.68333333
"145",4,"noload",20,2.35024198117571,1,0,-1.19868047,6,"balanced",4.68333333
"146",4,"noload",23,1.1004165281912,1,0,-5.72957795,6,"balanced",2.23333333
"147",4,"noload",24,5.53349053884244,1,0,-0.3039716,6,"balanced",9.5
"148",4,"noload",26,4.58373562911334,1,0,-0.52191351,6,"balanced",7.1
"149",4,"noload",34,5.43352316924859,1,0,-0.3039716,6,"balanced",9.5
"150",4,"noload",35,2.63378209952066,1,0,-1.19868047,6,"balanced",4.68333333
"151",4,"noload",36,5.91683713865439,1,0,-0.3039716,6,"balanced",9.5
"152",4,"noload",37,1.83382309127978,1,0,-5.72957795,6,"balanced",2.23333333
"153",4,"noload",38,2.93340469159432,1,0,-1.19868047,6,"balanced",4.68333333
"154",4,"noload",40,4.41681948020152,1,0,-0.52191351,6,"balanced",7.1
"155",4,"noload",43,4.23369528634009,1,0,-0.52191351,6,"balanced",7.1
"156",4,"noload",45,6.38333211082511,1,0,-0.3039716,6,"balanced",9.5
"157",4,"noload",47,4.0000211297729,1,0,-0.52191351,6,"balanced",7.1
"158",5,"load",10,2.76640221246834,1,0,-0.52191351,6,"balanced",7.1
"159",5,"load",12,1.04976302959886,1,0,-5.72957795,6,"balanced",2.23333333
"160",5,"load",14,2.43304684380058,1,0,-1.19868047,6,"balanced",4.68333333
"161",5,"load",18,1.00237981611667,1,0,-5.72957795,6,"balanced",2.23333333
"162",5,"load",22,1.11713168768631,1,0,-5.72957795,6,"balanced",2.23333333
"163",5,"load",23,4.16835719941162,1,0,-0.52191351,6,"balanced",7.1
"164",5,"load",24,-1.78358977331072,1,1,-1.19868047,6,"balanced",4.68333333
"165",5,"load",26,4.66636541647835,1,0,-0.3039716,6,"balanced",9.5
"166",5,"load",31,0.968967306506442,1,0,-5.72957795,6,"balanced",2.23333333
"167",5,"load",35,5.10216999747354,1,0,-0.3039716,6,"balanced",9.5
"168",5,"load",36,1.99979292822729,1,0,-1.19868047,6,"balanced",4.68333333
"169",5,"load",37,0.967164936892914,1,0,-5.72957795,6,"balanced",2.23333333
"170",5,"load",38,4.68421282993745,1,0,-0.3039716,6,"balanced",9.5
"171",5,"load",40,4.38369614662361,1,0,-0.3039716,6,"balanced",9.5
"172",5,"load",42,4.2830936764326,1,0,-0.52191351,6,"balanced",7.1
"173",5,"load",43,2.01837716704676,1,0,-1.19868047,6,"balanced",4.68333333
"174",5,"load",44,-4.98306418530706,1,1,-0.52191351,6,"balanced",7.1
"175",5,"load",45,4.40156287873219,1,0,-0.52191351,6,"balanced",7.1
"176",5,"load",46,2.63293781417337,1,0,-0.52191351,6,"balanced",7.1
"177",5,"load",47,4.63374044368311,1,0,-0.3039716,6,"balanced",9.5
"178",5,"noload",11,2.68354965692799,1,0,-0.3039716,6,"balanced",9.5
"179",5,"noload",12,6.40019185833632,1,0,-0.3039716,6,"balanced",9.5
"180",5,"noload",14,-5.96663820184426,1,1,-0.52191351,6,"balanced",7.1
"181",5,"noload",16,4.15030724198812,1,0,-0.52191351,6,"balanced",7.1
"182",5,"noload",18,2.65023555168779,1,0,-1.19868047,6,"balanced",4.68333333
"183",5,"noload",21,5.63343255270894,1,0,-0.3039716,6,"balanced",9.5
"184",5,"noload",25,0.68387535728175,1,0,-5.72957795,6,"balanced",2.23333333
"185",5,"noload",26,0.967062306568322,1,0,-5.72957795,6,"balanced",2.23333333
"186",5,"noload",27,4.01685340857955,1,0,-0.52191351,6,"balanced",7.1
"187",5,"noload",28,3.78366221824581,1,0,-0.52191351,6,"balanced",7.1
"188",5,"noload",29,2.60043297922846,1,0,-1.19868047,6,"balanced",4.68333333
"189",5,"noload",30,4.63346696405313,1,0,-0.3039716,6,"balanced",9.5
"190",5,"noload",31,0.950500186998513,1,0,-5.72957795,6,"balanced",2.23333333
"191",5,"noload",32,0.716969109177853,1,0,-5.72957795,6,"balanced",2.23333333
"192",5,"noload",33,4.08357670303701,1,0,-0.52191351,6,"balanced",7.1
"193",5,"noload",34,1.60034242305971,1,0,-1.19868047,6,"balanced",4.68333333
"194",5,"noload",39,0.850523158080023,1,0,-5.72957795,6,"balanced",2.23333333
"195",5,"noload",42,2.50019001702753,1,0,-1.19868047,6,"balanced",4.68333333
"196",5,"noload",45,1.90040843850682,1,0,-1.19868047,6,"balanced",4.68333333
"197",5,"noload",46,4.51690064871411,1,0,-0.3039716,6,"balanced",9.5
"198",6,"load",15,0.901585322784626,1,0,-5.72957795,6,"balanced",2.23333333
"199",6,"load",16,5.9493777336404,1,0,-0.3039716,6,"balanced",9.5
"200",6,"load",17,2.30154517656797,1,0,-1.19868047,6,"balanced",4.68333333
"201",6,"load",18,2.76636199813458,1,0,-1.19868047,6,"balanced",4.68333333
"202",6,"load",22,3.26690201002759,1,0,-1.19868047,6,"balanced",4.68333333
"203",6,"load",23,5.25136904636133,1,0,-0.52191351,6,"balanced",7.1
"204",6,"load",28,6.11612911989232,1,0,-0.3039716,6,"balanced",9.5
"205",6,"load",30,6.11610074587452,1,0,-0.3039716,6,"balanced",9.5
"206",6,"load",35,6.13288850520235,1,0,-0.3039716,6,"balanced",9.5
"207",6,"load",36,6.36686337306696,1,0,-0.3039716,6,"balanced",9.5
"208",6,"load",37,3.50140692869354,1,0,-1.19868047,6,"balanced",4.68333333
"209",6,"load",38,0.983051655804958,1,0,-5.72957795,6,"balanced",2.23333333
"210",6,"load",40,4.33489491048613,1,0,-0.52191351,6,"balanced",7.1
"211",6,"load",42,5.61814729737466,1,0,-0.52191351,6,"balanced",7.1
"212",6,"load",45,6.04941787985718,1,0,-0.3039716,6,"balanced",9.5
"213",6,"load",46,3.40220834377237,1,0,-1.19868047,6,"balanced",4.68333333
"214",6,"load",47,1.19978900597357,1,0,-5.72957795,6,"balanced",2.23333333
"215",6,"noload",12,3.13329690994874,1,0,-1.19868047,6,"balanced",4.68333333
"216",6,"noload",13,4.30023846249043,1,0,-0.52191351,6,"balanced",7.1
"217",6,"noload",14,0.949784025427903,1,0,-5.72957795,6,"balanced",2.23333333
"218",6,"noload",17,5.45014594508115,1,0,-0.3039716,6,"balanced",9.5
"219",6,"noload",19,0.933797681178702,1,0,-5.72957795,6,"balanced",2.23333333
"220",6,"noload",20,3.36676195104576,1,0,-0.52191351,6,"balanced",7.1
"221",6,"noload",22,4.4835367307698,1,0,-0.52191351,6,"balanced",7.1
"222",6,"noload",23,0.96704478567051,1,0,-5.72957795,6,"balanced",2.23333333
"223",6,"noload",25,4.98286480987906,1,0,-0.52191351,6,"balanced",7.1
"224",6,"noload",26,0.983664111998905,1,0,-5.72957795,6,"balanced",2.23333333
"225",6,"noload",27,2.08318748886927,1,0,-1.19868047,6,"balanced",4.68333333
"226",6,"noload",28,2.8003432048755,1,0,-1.19868047,6,"balanced",4.68333333
"227",6,"noload",30,6.68334173485994,1,0,-0.3039716,6,"balanced",9.5
"228",6,"noload",32,3.11700780889191,1,0,-1.19868047,6,"balanced",4.68333333
"229",6,"noload",33,6.13341131157392,1,0,-0.3039716,6,"balanced",9.5
"230",6,"noload",36,4.48369308971928,1,0,-0.52191351,6,"balanced",7.1
"231",6,"noload",41,1.00037852147216,1,0,-5.72957795,6,"balanced",2.23333333
"232",6,"noload",43,6.38345130686503,1,0,-0.3039716,6,"balanced",9.5
"233",6,"noload",45,0.833144173214349,1,0,-5.72957795,6,"balanced",2.23333333
"234",6,"noload",46,2.60022276622533,1,0,-1.19868047,6,"balanced",4.68333333
"235",6,"noload",47,7.03270045187139,1,0,-0.3039716,6,"balanced",9.5
"236",7,"load",11,5.6682957913223,1,0,-0.3039716,6,"balanced",9.5
"237",7,"load",12,2.36659138341872,1,0,-1.19868047,6,"balanced",4.68333333
"238",7,"load",13,1.06847062715713,1,0,-5.72957795,6,"balanced",2.23333333
"239",7,"load",15,1.21722899690957,1,0,-5.72957795,6,"balanced",2.23333333
"240",7,"load",17,4.49973104501237,1,0,-0.52191351,6,"balanced",7.1
"241",7,"load",18,4.06882108365619,1,0,-0.52191351,6,"balanced",7.1
"242",7,"load",23,2.3017744388319,1,0,-1.19868047,6,"balanced",4.68333333
"243",7,"load",25,1.20165375622355,1,0,-5.72957795,6,"balanced",2.23333333
"244",7,"load",27,4.13506551212231,1,0,-0.52191351,6,"balanced",7.1
"245",7,"load",28,4.83291103476131,1,0,-0.3039716,6,"balanced",9.5
"246",7,"load",31,1.46834541668704,1,0,-5.72957795,6,"balanced",2.23333333
"247",7,"load",36,5.21643360252983,1,0,-0.3039716,6,"balanced",9.5
"248",7,"load",37,1.08590561159031,1,0,-5.72957795,6,"balanced",2.23333333
"249",7,"load",38,3.99974402488283,1,0,-0.52191351,6,"balanced",7.1
"250",7,"load",40,6.70170446827501,1,0,-0.3039716,6,"balanced",9.5
"251",7,"load",41,7.74970734920271,1,0,-0.3039716,6,"balanced",9.5
"252",7,"load",42,2.59991391025551,1,0,-1.19868047,6,"balanced",4.68333333
"253",7,"load",43,2.55160675701859,1,0,-1.19868047,6,"balanced",4.68333333
"254",7,"load",45,2.55194362993234,1,0,-1.19868047,6,"balanced",4.68333333
"255",7,"load",47,4.93396415503162,1,0,-0.52191351,6,"balanced",7.1
"256",7,"noload",12,4.28322710969684,1,0,-0.52191351,6,"balanced",7.1
"257",7,"noload",14,4.16708051323008,1,0,-0.52191351,6,"balanced",7.1
"258",7,"noload",15,4.66704821448303,1,0,-0.52191351,6,"balanced",7.1
"259",7,"noload",16,2.03382735323538,1,0,-1.19868047,6,"balanced",4.68333333
"260",7,"noload",18,1.06725987692664,1,0,-5.72957795,6,"balanced",2.23333333
"261",7,"noload",22,2.23382874177969,1,0,-1.19868047,6,"balanced",4.68333333
"262",7,"noload",23,4.28305595652284,1,0,-0.52191351,6,"balanced",7.1
"263",7,"noload",26,4.46709361384342,1,0,-0.52191351,6,"balanced",7.1
"264",7,"noload",27,2.68380492522692,1,0,-1.19868047,6,"balanced",4.68333333
"265",7,"noload",28,1.13373130219497,1,0,-5.72957795,6,"balanced",2.23333333
"266",7,"noload",32,4.61700236233639,1,0,-0.3039716,6,"balanced",9.5
"267",7,"noload",35,5.10041046576009,1,0,-0.3039716,6,"balanced",9.5
"268",7,"noload",37,1.06733835986358,1,0,-5.72957795,6,"balanced",2.23333333
"269",7,"noload",39,3.11692810540376,1,0,-1.19868047,6,"balanced",4.68333333
"270",7,"noload",43,1.0171989319075,1,0,-5.72957795,6,"balanced",2.23333333
"271",7,"noload",45,5.08387592209896,1,0,-0.52191351,6,"balanced",7.1
"272",7,"noload",47,1.16729724687889,1,0,-5.72957795,6,"balanced",2.23333333
"273",8,"load",10,3.11817929360768,1,0,-1.19868047,6,"balanced",4.68333333
"274",8,"load",11,1.48311323346081,1,0,-5.72957795,6,"balanced",2.23333333
"275",8,"load",12,2.5661488911494,1,0,-1.19868047,6,"balanced",4.68333333
"276",8,"load",13,6.15122053554449,1,0,-0.3039716,6,"balanced",9.5
"277",8,"load",14,1.01629906214816,1,0,-5.72957795,6,"balanced",2.23333333
"278",8,"load",15,5.56782175079763,1,0,-0.52191351,6,"balanced",7.1
"279",8,"load",16,-0.0336938443474555,1,1,-0.52191351,6,"balanced",7.1
"280",8,"load",19,4.56823136294895,1,0,-0.52191351,6,"balanced",7.1
"281",8,"load",22,1.11632773801728,1,0,-5.72957795,6,"balanced",2.23333333
"282",8,"load",23,2.16830169429102,1,0,-1.19868047,6,"balanced",4.68333333
"283",8,"load",24,2.73289182556618,1,0,-1.19868047,6,"balanced",4.68333333
"284",8,"load",26,4.33278738503248,1,0,-0.52191351,6,"balanced",7.1
"285",8,"load",27,1.15237692769756,1,0,-5.72957795,6,"balanced",2.23333333
"286",8,"load",31,1.09993389457543,1,0,-5.72957795,6,"balanced",2.23333333
"287",8,"load",33,2.0663146074877,1,0,-1.19868047,6,"balanced",4.68333333
"288",8,"load",34,2.3170639532251,1,0,-1.19868047,6,"balanced",4.68333333
"289",8,"load",35,1.53558282949325,1,0,-5.72957795,6,"balanced",2.23333333
"290",8,"load",37,6.15014171916346,1,0,-0.3039716,6,"balanced",9.5
"291",8,"load",42,6.55030592624576,1,0,-0.3039716,6,"balanced",9.5
"292",8,"load",43,3.86831195723357,1,0,-0.52191351,6,"balanced",7.1
"293",8,"noload",12,2.46699830057747,1,0,-1.19868047,6,"balanced",4.68333333
"294",8,"noload",13,2.64966087011641,1,0,-1.19868047,6,"balanced",4.68333333
"295",8,"noload",14,2.4835279770835,1,0,-1.19868047,6,"balanced",4.68333333
"296",8,"noload",15,6.31683696108235,1,0,-0.3039716,6,"balanced",9.5
"297",8,"noload",16,5.91654869313498,1,0,-0.3039716,6,"balanced",9.5
"298",8,"noload",17,6.61675274458253,1,0,-0.3039716,6,"balanced",9.5
"299",8,"noload",18,0.983952379946232,1,0,-5.72957795,6,"balanced",2.23333333
"300",8,"noload",19,4.55018578944669,1,0,-0.52191351,6,"balanced",7.1
"301",8,"noload",21,6.2501987690506,1,0,-0.3039716,6,"balanced",9.5
"302",8,"noload",25,0.967269363003311,1,0,-5.72957795,6,"balanced",2.23333333
"303",8,"noload",27,6.86685280827317,1,0,-0.3039716,6,"balanced",9.5
